E1 V0=875 V1=0 V2=0 V3=125
E2 V0=500 V1=0 V2=0 V3=500
E3 V0=500 V1=0 V2=0 V3=500
E4 V0=500 V1=0 V2=0 V3=500
E5 V0=500 V1=0 V2=0 V3=500
E6 V0=500 V1=0 V2=0 V3=500
E7 V0=500 V1=0 V2=0 V3=500
E8 V0=625 V1=0 V2=0 V3=375
E9 V0=1000 V1=0 V2=0 V3=0
E10 V0=1000 V1=0 V2=0 V3=0
E11 V0=1000 V1=0 V2=0 V3=0
E12 V0=1000 V1=0 V2=0 V3=0
E13 V0=665.625 V1=0 V2=334.375 V3=0
E14 V0=595.625 V1=338.75 V2=65.625 V3=0
E15 V0=297.5 V1=702.5 V2=0 V3=0
E16 V0=97.5 V1=902.5 V2=0 V3=0
E17 V0=583.75 V1=416.25 V2=0 V3=0
E18 V0=1000 V1=0 V2=0 V3=0
E19 V0=1000 V1=0 V2=0 V3=0
E20 V0=1000 V1=0 V2=0 V3=0
E21 V0=880 V1=0 V2=120 V3=0
E22 V0=6.25 V1=62.5 V2=931.25 V3=0
E23 V0=0 V1=937.5 V2=62.5 V3=0
E24 V0=0 V1=1000 V2=0 V3=0
E25 V0=0 V1=1000 V2=0 V3=0
E26 V0=16.25 V1=983.75 V2=0 V3=0
E27 V0=868.75 V1=131.25 V2=0 V3=0
E28 V0=1000 V1=0 V2=0 V3=0
E29 V0=1000 V1=0 V2=0 V3=0
E30 V0=523.125 V1=0 V2=476.875 V3=0
E31 V0=0 V1=437.5 V2=562.5 V3=0
E32 V0=0 V1=1000 V2=0 V3=0
E33 V0=0 V1=1000 V2=0 V3=0
E34 V0=0 V1=1000 V2=0 V3=0
E35 V0=31.25 V1=968.75 V2=0 V3=0
E36 V0=968.75 V1=31.25 V2=0 V3=0
E37 V0=1000 V1=0 V2=0 V3=0
E38 V0=977.5 V1=0 V2=22.5 V3=0
E39 V0=131.875 V1=0 V2=868.125 V3=0
E40 V0=0 V1=500 V2=500 V3=0
E41 V0=0 V1=1000 V2=0 V3=0
E42 V0=0 V1=1000 V2=0 V3=0
E43 V0=0 V1=1000 V2=0 V3=0
E44 V0=250 V1=750 V2=0 V3=0
E45 V0=1000 V1=0 V2=0 V3=0
E46 V0=1000 V1=0 V2=0 V3=0
E47 V0=576.25 V1=0 V2=423.75 V3=0
E48 V0=0 V1=0 V2=1000 V3=0
E49 V0=0 V1=500 V2=500 V3=0
E50 V0=0 V1=1000 V2=0 V3=0
E51 V0=0 V1=1000 V2=0 V3=0
E52 V0=0 V1=1000 V2=0 V3=0
E53 V0=531.25 V1=468.75 V2=0 V3=0
E54 V0=1000 V1=0 V2=0 V3=0
E55 V0=950.625 V1=0 V2=49.375 V3=0
E56 V0=86.875 V1=0 V2=913.125 V3=0
E57 V0=0 V1=0 V2=1000 V3=0
E58 V0=0 V1=500 V2=500 V3=0
E59 V0=0 V1=1000 V2=0 V3=0
E60 V0=0 V1=1000 V2=0 V3=0
E61 V0=0 V1=1000 V2=0 V3=0
E62 V0=937.5 V1=62.5 V2=0 V3=0
E63 V0=1000 V1=0 V2=0 V3=0
E64 V0=776.875 V1=0 V2=223.125 V3=0
E65 V0=170.625 V1=0 V2=829.375 V3=0
E66 V0=0 V1=0 V2=1000 V3=0
E67 V0=0 V1=500 V2=500 V3=0
E68 V0=0 V1=1000 V2=0 V3=0
E69 V0=0 V1=1000 V2=0 V3=0
E70 V0=0 V1=1000 V2=0 V3=0
E71 V0=1000 V1=0 V2=0 V3=0
E72 V0=1000 V1=0 V2=0 V3=0
E73 V0=1000 V1=0 V2=0 V3=0
E74 V0=1000 V1=0 V2=0 V3=0
E75 V0=837.5 V1=0 V2=162.5 V3=0
E76 V0=615 V1=0 V2=385 V3=0
E77 V0=960 V1=0 V2=40 V3=0
E78 V0=1000 V1=0 V2=0 V3=0
E79 V0=1000 V1=0 V2=0 V3=0
E80 V0=1000 V1=0 V2=0 V3=0
E81 V0=1000 V1=0 V2=0 V3=0
